County,Fed. Lean,State Lean,16,20,24,17,21,boosts,21votes,pct,Lean,preprocessed,prediction,swingunformatted,Forecast,Swing
Gloucester,-45.142416727326356,-42.53329726357107,-41.578378378378375,R+36.2,R+38.7,-30.387534958050338,R+45.5,-3.0,17391,0.005286934210486,R+44.5,-37.84308936667467,-37.8240408222825,0.882825681725862,R+37.8,D+0.9
Goochland,-26.17608878727982,-31.241362374053338,-26.33165071950576,R+19.7,R+18.8,-25.01198351068929,R+32.3,1.0,14552,0.00442386674895,R+27.4,-16.795359689260323,-16.776311144868156,2.0213791005432675,R+16.8,D+2.0
Grayson,-68.96024657212403,-63.71470737635976,-59.79425632233176,R+61.9,R+62.6,-54.33769691590859,R+65.8,0.0,6237,0.001896073179852,R+67.6,-58.001814278470086,-57.982765734077915,4.661698041242076,R+58.0,D+4.7
Greene,-32.2734964140294,-34.94892064029818,-34.06246476491149,R+24.5,R+25.0,-28.63804470172053,R+36.0,1.0,8842,0.002688003696689,R+32.9,-22.295304975883724,-22.276256431491557,2.7573909440131494,R+22.3,D+2.8
Greensville,4.517362972913006,7.038167226984576,19.115250291036087,D+15.7,D+9.3,14.295652173913043,D+5.7,1.0,3638,0.001105966687238,D+5.1,15.794611531143772,15.813660075535939,6.492816984201044,D+15.8,D+6.5
Halifax,-26.482968110983645,-27.658900286423044,-16.908619962652853,R+15.2,R+21.2,-21.824167312161116,R+28.5,0.0,13522,0.004110742590662,R+26.8,-17.129903660130623,-17.110855115738456,4.085195660002025,R+17.1,D+4.1
Hampton,34.17057178133214,36.12292889610622,39.53456952747661,D+43.0,D+40.5,44.689158073881266,D+34.3,-3.0,45104,0.013711798092679,D+34.7,41.30570855473854,41.32475709913071,0.8744817508961731,D+41.3,D+0.9
Hanover,-33.545257699151186,-35.53897352507054,-34.311665423981566,R+27.3,R+26.1,-30.620209714581275,R+36.1,1.0,59064,0.017955694451622,R+34.0,-23.39663916091815,-23.377590616525982,2.674247506900759,R+23.4,D+2.7
Harrisonburg,20.272245639870178,22.769511930119005,23.977176156367612,D+32.7,D+25.9,29.14983745443799,D+21.7,0.0,11337,0.003446493769437,D+20.9,30.543609707145258,30.562658251537425,4.685802511311483,D+30.6,D+4.7
Henrico,22.15881818706353,18.966574456767315,22.158499791926758,D+29.5,D+29.3,23.05920011256112,D+18.7,1.0,138667,0.042155327822754,D+21.4,32.00780474920235,32.02685329359451,2.711760162896791,D+32.0,D+2.7
Henry,-38.81851061168903,-38.14285602677639,-29.949585576347943,R+29.4,R+33.0,-29.77548239007245,R+39.9,0.0,18536,0.00563501883305,R+38.6,-29.002549470748,-28.983500926355834,4.048925727641073,R+29.0,D+4.0
Highland,-51.498174595499734,-47.52471770523309,-44.16854778028593,R+44.7,R+44.9,-37.59842519685039,R+49.8,0.0,1303,0.000396117260437,R+50.5,-40.8577628782202,-40.83871433382804,4.098413396152111,R+40.8,D+4.1
Hopewell,7.118062741274354,-0.5152467017021714,9.745615054013241,D+14.9,D+13.9,1.6204134848202645,R+0.2,1.0,6276,0.001907929337302,D+5.2,15.856782875243097,15.875831419635263,1.9682495443548689,D+15.9,D+2.0
Isle of Wight,-26.508384836791997,-26.474549377466982,-21.52352501867065,R+18.6,R+20.0,-14.875678765361533,R+29.3,-3.0,18673,0.005676667386143,R+26.5,-19.85287847724787,-19.833829932855704,0.13507095919765533,R+19.8,D+0.1
James City,-1.4802578340044814,-5.256985227982585,-5.446536834030338,D+4.9,D+6.3,-1.1937265858149724,R+5.5,-3.0,40091,0.012187825854327,R+2.4,4.222607812213867,4.2416563566060335,-2.0524390783364312,D+4.2,R+2.1
King and Queen,-31.108192995648285,-27.25161089509498,-17.689935520044855,R+21.3,R+25.9,-14.94064674580434,R+30.3,1.0,3261,0.000991357165223,R+30.1,-19.496999975797088,-19.47795143140492,6.390774437320946,R+19.5,D+6.4
King George,-31.717776413486593,-35.03321812173432,-29.379626365879453,R+22.0,R+25.4,-24.638502977034307,R+37.4,3.0,10701,0.003253147201795,R+32.5,-19.899589345835658,-19.88054080144349,5.474080825527544,R+19.9,D+5.5
King William,-46.815988750507046,-44.22354595923047,-36.805953062392675,R+38.4,R+40.9,-31.696579749407384,R+47.3,1.0,8572,0.002605922606652,R+46.2,-35.52083055797503,-35.50178201358287,5.41206521348375,R+35.5,D+5.4
Lancaster,-13.54439077245536,-17.194044308239626,-10.231539424280351,R+4.7,R+7.1,-12.180828798660528,R+17.8,1.0,5873,0.001785415710321,R+14.5,-3.809756661688553,-3.7907081172963863,3.2858740735359087,R+3.8,D+3.3
Lee,-77.97429145355042,-72.67150094471805,-64.51472191930208,R+69.8,R+72.4,-60.44289397846201,R+75.7,0.0,7274,0.002211325366401,R+76.6,-67.00154633162946,-66.98249778723729,5.377164408490472,R+67.0,D+5.4
