simulation,gcb,dem_house_seats,rep_house_seats,dem_house_win,rep_house_win,dem_senate_seats,rep_senate_seats,dem_senate_win,rep_senate_win
63,9.901210650913224,255.0,180.0,100.0,0.0,50.0,50.0,0.0,100.0
64,10.282941958213225,256.0,179.0,100.0,0.0,50.0,50.0,0.0,100.0
65,-15.371089941556775,164.0,271.0,0.0,100.0,39.0,61.0,0.0,100.0
66,-14.959459258666776,167.0,268.0,0.0,100.0,39.0,61.0,0.0,100.0
67,-11.141474091646774,188.0,247.0,0.0,100.0,42.0,58.0,0.0,100.0
68,2.2776008068532243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
69,1.7712304563932244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
70,2.5544260968432244,227.0,208.0,100.0,0.0,49.0,51.0,0.0,100.0
71,-3.889028342916776,210.0,225.0,0.0,100.0,45.0,55.0,0.0,100.0
72,6.7195830364132245,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
73,13.521047663463225,264.0,171.0,100.0,0.0,53.0,47.0,100.0,0.0
74,9.859079493683224,255.0,180.0,100.0,0.0,50.0,50.0,0.0,100.0
75,12.347458066483226,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
76,8.438388302263224,247.0,188.0,100.0,0.0,49.0,51.0,0.0,100.0
77,4.007074311843224,231.0,204.0,100.0,0.0,49.0,51.0,0.0,100.0
78,16.986338434023224,288.0,147.0,100.0,0.0,57.0,43.0,100.0,0.0
79,11.540459154323225,259.0,176.0,100.0,0.0,53.0,47.0,100.0,0.0
80,-9.070309915346774,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
81,20.041379201633227,310.0,125.0,100.0,0.0,58.0,42.0,100.0,0.0
82,-15.921235341526774,161.0,274.0,0.0,100.0,39.0,61.0,0.0,100.0
83,15.533760180653225,279.0,156.0,100.0,0.0,56.0,44.0,100.0,0.0
84,19.161966126563225,300.0,135.0,100.0,0.0,58.0,42.0,100.0,0.0
85,3.3773166264932244,229.0,206.0,100.0,0.0,49.0,51.0,0.0,100.0
86,-11.678301827876775,186.0,249.0,0.0,100.0,42.0,58.0,0.0,100.0
87,-15.810088877396776,162.0,273.0,0.0,100.0,39.0,61.0,0.0,100.0
88,-3.521724372856776,213.0,222.0,0.0,100.0,45.0,55.0,0.0,100.0
89,-11.136027223036775,188.0,247.0,0.0,100.0,42.0,58.0,0.0,100.0
90,0.07056571328322425,223.0,212.0,100.0,0.0,48.0,52.0,0.0,100.0
91,8.440065844223225,247.0,188.0,100.0,0.0,49.0,51.0,0.0,100.0
92,21.477892364983227,321.0,114.0,100.0,0.0,58.0,42.0,100.0,0.0
93,6.669818315233224,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
94,8.937362905853224,252.0,183.0,100.0,0.0,49.0,51.0,0.0,100.0
95,15.576395917313224,280.0,155.0,100.0,0.0,56.0,44.0,100.0,0.0
96,7.002574298283225,240.0,195.0,100.0,0.0,49.0,51.0,0.0,100.0
97,-10.788113102396775,191.0,244.0,0.0,100.0,42.0,58.0,0.0,100.0
98,-5.002921229186775,208.0,227.0,0.0,100.0,45.0,55.0,0.0,100.0
99,-7.498824502936776,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
100,15.734222050903226,281.0,154.0,100.0,0.0,56.0,44.0,100.0,0.0
101,22.179162363393225,325.0,110.0,100.0,0.0,58.0,42.0,100.0,0.0
102,-13.905620153856773,175.0,260.0,0.0,100.0,41.0,59.0,0.0,100.0
103,11.121858984993224,258.0,177.0,100.0,0.0,53.0,47.0,100.0,0.0
104,21.165161922473224,320.0,115.0,100.0,0.0,58.0,42.0,100.0,0.0
105,16.707618452843224,288.0,147.0,100.0,0.0,57.0,43.0,100.0,0.0
106,-14.362647597916776,171.0,264.0,0.0,100.0,40.0,60.0,0.0,100.0
107,16.836817972713224,288.0,147.0,100.0,0.0,57.0,43.0,100.0,0.0
108,-4.956554392416775,208.0,227.0,0.0,100.0,45.0,55.0,0.0,100.0
109,-17.056571012226776,157.0,278.0,0.0,100.0,38.0,62.0,0.0,100.0
110,-10.390551654106774,194.0,241.0,0.0,100.0,43.0,57.0,0.0,100.0
111,3.0219505536132245,229.0,206.0,100.0,0.0,49.0,51.0,0.0,100.0
112,-6.327795645766775,206.0,229.0,0.0,100.0,45.0,55.0,0.0,100.0
113,4.292051821203224,231.0,204.0,100.0,0.0,49.0,51.0,0.0,100.0
114,-17.105093120596774,157.0,278.0,0.0,100.0,38.0,62.0,0.0,100.0
115,-4.935799548316776,208.0,227.0,0.0,100.0,45.0,55.0,0.0,100.0
116,13.165919828673225,262.0,173.0,100.0,0.0,53.0,47.0,100.0,0.0
117,-0.4724827536367755,221.0,214.0,100.0,0.0,46.0,54.0,0.0,100.0
118,0.8049320696432245,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
119,16.493636865803225,286.0,149.0,100.0,0.0,57.0,43.0,100.0,0.0
120,1.6029412353232244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
121,5.613058042613225,237.0,198.0,100.0,0.0,49.0,51.0,0.0,100.0
122,-6.755719120966775,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
123,0.6847273676332244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
124,-11.444812122546775,186.0,249.0,0.0,100.0,42.0,58.0,0.0,100.0
125,7.494818833463224,242.0,193.0,100.0,0.0,49.0,51.0,0.0,100.0
126,5.237782678533224,236.0,199.0,100.0,0.0,49.0,51.0,0.0,100.0
127,10.337999461283225,256.0,179.0,100.0,0.0,51.0,49.0,100.0,0.0
128,3.0850609449432245,229.0,206.0,100.0,0.0,49.0,51.0,0.0,100.0
129,-0.7008711108667756,220.0,215.0,100.0,0.0,46.0,54.0,0.0,100.0
130,0.5896896691832245,224.0,211.0,100.0,0.0,49.0,51.0,0.0,100.0
131,-15.556717741476774,164.0,271.0,0.0,100.0,39.0,61.0,0.0,100.0
132,-13.324904196576774,178.0,257.0,0.0,100.0,41.0,59.0,0.0,100.0
133,-1.0074263006867756,219.0,216.0,100.0,0.0,46.0,54.0,0.0,100.0
134,-1.8221178871367756,218.0,217.0,100.0,0.0,46.0,54.0,0.0,100.0
135,9.336596715153224,253.0,182.0,100.0,0.0,50.0,50.0,0.0,100.0
136,-2.5190364188067753,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
137,18.817287769213223,297.0,138.0,100.0,0.0,58.0,42.0,100.0,0.0
138,-3.982876830756776,209.0,226.0,0.0,100.0,45.0,55.0,0.0,100.0
139,12.086061563323225,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
140,0.6829248432532244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
141,6.3442571256432245,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
142,-3.2700062213367755,215.0,220.0,0.0,100.0,45.0,55.0,0.0,100.0
143,-16.822844609026774,158.0,277.0,0.0,100.0,38.0,62.0,0.0,100.0
144,17.289247159693225,290.0,145.0,100.0,0.0,57.0,43.0,100.0,0.0
145,-5.838445865886776,206.0,229.0,0.0,100.0,45.0,55.0,0.0,100.0
146,14.563724326473224,274.0,161.0,100.0,0.0,54.0,46.0,100.0,0.0
147,1.1839303754032244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
148,18.576864959253225,294.0,141.0,100.0,0.0,58.0,42.0,100.0,0.0
149,20.865458031263223,315.0,120.0,100.0,0.0,58.0,42.0,100.0,0.0
150,-13.299151005096775,178.0,257.0,0.0,100.0,41.0,59.0,0.0,100.0
151,11.183463717363225,258.0,177.0,100.0,0.0,53.0,47.0,100.0,0.0
152,11.025741721273224,258.0,177.0,100.0,0.0,53.0,47.0,100.0,0.0
153,1.7707482951232243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
154,5.400893061703224,236.0,199.0,100.0,0.0,49.0,51.0,0.0,100.0
155,13.855026276563224,269.0,166.0,100.0,0.0,53.0,47.0,100.0,0.0
156,-5.351665163626775,208.0,227.0,0.0,100.0,45.0,55.0,0.0,100.0
157,6.597088348883224,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
158,-14.145739539096777,172.0,263.0,0.0,100.0,40.0,60.0,0.0,100.0
159,-7.399105992706776,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
160,-11.012486375276776,189.0,246.0,0.0,100.0,42.0,58.0,0.0,100.0
161,-2.832965287086776,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
162,-16.632861029296777,159.0,276.0,0.0,100.0,38.0,62.0,0.0,100.0
163,-3.6809091079367753,213.0,222.0,0.0,100.0,45.0,55.0,0.0,100.0
164,-10.366808868316776,194.0,241.0,0.0,100.0,43.0,57.0,0.0,100.0
165,-2.7604634631067753,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
166,15.494602500093224,279.0,156.0,100.0,0.0,56.0,44.0,100.0,0.0
167,11.668122505103225,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
168,20.373893971073226,315.0,120.0,100.0,0.0,58.0,42.0,100.0,0.0
169,-12.877000699146775,179.0,256.0,0.0,100.0,41.0,59.0,0.0,100.0
170,-3.071450259796775,215.0,220.0,0.0,100.0,46.0,54.0,0.0,100.0
171,12.171577796983225,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
172,19.443901217573224,303.0,132.0,100.0,0.0,58.0,42.0,100.0,0.0
173,-13.359037705496775,178.0,257.0,0.0,100.0,41.0,59.0,0.0,100.0
174,10.662267108383224,257.0,178.0,100.0,0.0,53.0,47.0,100.0,0.0
175,-3.4628238781267755,213.0,222.0,0.0,100.0,45.0,55.0,0.0,100.0
176,-14.664284121026775,171.0,264.0,0.0,100.0,39.0,61.0,0.0,100.0
177,17.546625739303224,292.0,143.0,100.0,0.0,57.0,43.0,100.0,0.0
178,-4.955133954766776,208.0,227.0,0.0,100.0,45.0,55.0,0.0,100.0
179,21.925943897743224,324.0,111.0,100.0,0.0,58.0,42.0,100.0,0.0
180,16.011793002023225,284.0,151.0,100.0,0.0,56.0,44.0,100.0,0.0
181,13.999228881943225,270.0,165.0,100.0,0.0,53.0,47.0,100.0,0.0
182,4.217891476583224,231.0,204.0,100.0,0.0,49.0,51.0,0.0,100.0
183,20.919618424403225,317.0,118.0,100.0,0.0,58.0,42.0,100.0,0.0
184,22.024845714243224,324.0,111.0,100.0,0.0,58.0,42.0,100.0,0.0
185,-3.4252711367267756,213.0,222.0,0.0,100.0,45.0,55.0,0.0,100.0
186,5.6064108599532245,237.0,198.0,100.0,0.0,49.0,51.0,0.0,100.0
187,20.333734451733225,314.0,121.0,100.0,0.0,58.0,42.0,100.0,0.0
188,-7.302186027796775,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
189,3.6456635142232243,231.0,204.0,100.0,0.0,49.0,51.0,0.0,100.0
190,10.481949375753224,256.0,179.0,100.0,0.0,52.0,48.0,100.0,0.0
191,-0.23307335218677538,222.0,213.0,100.0,0.0,48.0,52.0,0.0,100.0
192,-11.182360156546775,187.0,248.0,0.0,100.0,42.0,58.0,0.0,100.0
193,-13.624179847576775,177.0,258.0,0.0,100.0,41.0,59.0,0.0,100.0
194,21.918305071043225,324.0,111.0,100.0,0.0,58.0,42.0,100.0,0.0
195,8.859403229463224,252.0,183.0,100.0,0.0,49.0,51.0,0.0,100.0
196,-13.594925087266775,177.0,258.0,0.0,100.0,41.0,59.0,0.0,100.0
197,-9.126591328486775,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
198,-12.444337021426776,184.0,251.0,0.0,100.0,42.0,58.0,0.0,100.0
199,13.294908335153226,263.0,172.0,100.0,0.0,53.0,47.0,100.0,0.0
200,-3.1277637404367753,215.0,220.0,0.0,100.0,46.0,54.0,0.0,100.0
201,9.583774655333224,255.0,180.0,100.0,0.0,50.0,50.0,0.0,100.0
