office_code,datawrapper,state,dem_fec_id,dem_name,dem_first_name,dem_last,dem_status,rep_fec_id,rep_name,rep_first_name,rep_last,rep_status,incumbent_bonus,dem_polling,rep_polling,polling_margin,num_polls,total_weight,dem_funds,rep_funds,funds_score,trump_16,clinton_16,trump_20,biden_20,trump_24,harris_24,dem_24,rep_24,total_adult_pop,white,hispanic,black,asian,native_american,pacific_islander,income_lt25k,income_25_50k,income_50_100k,income_100_200k,income_200kplus,edu_hs,edu_bachelor,edu_grad,urban,suburban,rural,lean,date,margin,dem_probability,rep_probability,dem_polling,rep_polling,polling_avg,fundamentals,polling_weight,fundamentals_weight,dem_pct,rep_pct,has_polls,24to26,rating,datawrapper_incumbent_bonus,datawrapper_polling_margin,datawrapper_funds_score,datawrapper_24to26,datawrapper_margin
FL-03,FL-03,FL,H6FL03099,Seth Allan Harp,Seth,Harp,CHALLENGER,H0FL03175,Kat Cammack,Kat,Cammack,INCUMBENT,-1.0511673411115376,,,,,,0.0,968244.9750000001,-4.52071920922621,192723.0,141300.0,222083.0,166551.0,239780.0,155690.0,150283.0,241174.0,,,,,,,,,,,,,,,,,,,-17.87068773778794,2025-10-07,-16.32587667000736,38.57817447450527,61.42182552549473,,,,-15.81125871614623,0.0,1.0,41.83706166499632,58.16293833500368,False,4.937430281215235,Lean R,R+1.1,N/A,R+4.5,D+4.9,R+16.3
FL-04,FL-04,FL,H6FL04188,Ricky Patric Knoles,Ricky,Knoles,CHALLENGER,H2FL04211,Aaron P Bean,Aaron,Bean,INCUMBENT,-1.3464959793432651,,,,,,4502.385,797023.96,-4.115226780221898,185371.0,148978.0,210799.0,184083.0,220106.0,173072.0,165912.0,222364.0,,,,,,,,,,,,,,,,,,,-9.240219606842974,2025-10-07,-6.704777054348769,45.26386530465023,54.73613469534977,,,,-7.174930129520258,0.0,1.0,46.647611472825616,53.352388527174384,False,5.2577437377606575,Toss-up,R+1.3,N/A,R+4.1,D+5.3,R+6.7
FL-05,FL-05,FL,H6FL05219,Eli Johnson,Eli,Johnson,CHALLENGER,H6FL04105,John Rutherford,John,Rutherford,INCUMBENT,-2.360190793919449,,,,,,0.0,259741.09999999998,-2.7355706727288567,209960.0,131420.0,244326.0,176967.0,262791.0,169104.0,156570.0,267471.0,,,,,,,,,,,,,,,,,,,-19.060566088755685,2025-10-07,-16.65906412197556,38.35060921063464,61.64939078936536,,,,-16.98124510073724,0.0,1.0,41.67046793901222,58.32953206098778,False,5.03301381363379,Lean R,R+2.4,N/A,R+2.7,D+5.0,R+16.7
FL-06,FL-06,FL,H6FL06266,Joshua Joseph Weil,Joshua,Weil,CHALLENGER,H6FL06258,Randy Fine,Randy,Fine,INCUMBENT,-1.4908055089711159,44.455523145,48.044476855,-3.5889537099999984,1.0,0.00045255597210524,15933478.15,2790308.945,2.5914641150889444,218563.0,132990.0,261985.0,160936.0,285400.0,152648.0,143050.0,284414.0,,,,,,,,,,,,,,,,,,,-27.003917751737063,2025-10-07,-21.975853846043233,34.76798501494817,65.23201498505183,44.455523145,48.044476855,-3.5889537099999984,-21.68148917984416,0.0002423964179358203,0.9997576035820642,39.01207307697838,60.98792692302162,True,8.329500818285787,Lean R,R+1.5,R+3.6,D+2.6,D+8.3,R+22.0
FL-07,FL-07,FL,H6FL07173,Noah Widmann,Noah,Widmann,CHALLENGER,H2FL07156,Cory Mills,Cory,Mills,INCUMBENT,-0.28847843379758364,,,,,,192589.53,504202.245,-1.2392382677805476,192278.0,163712.0,225947.0,202075.0,237638.0,184389.0,179917.0,233937.0,,,,,,,,,,,,,,,,,,,-9.308932676357973,2025-10-07,-5.3960274243467365,46.185706773698314,53.814293226301686,,,,-5.100303912450796,0.0,1.0,47.30198628782663,52.69801371217337,False,7.221411744237263,Toss-up,R+0.3,N/A,R+1.2,D+7.2,R+5.4
FL-08,FL-08,FL,H6FL08270,Paul Lyal Dellinger,Paul,Dellinger,CHALLENGER,H4FL08168,Mike Haridopolos,Mike,Haridopolos,INCUMBENT,-1.0686325348064005,,,,,,1637.9,597962.7250000001,-3.79436590882249,231314.0,149083.0,267764.0,186835.0,280407.0,177212.0,170096.0,280352.0,,,,,,,,,,,,,,,,,,,-19.917499886151,2025-10-07,-17.595581121894234,37.71276164668147,62.28723835331853,,,,-17.506537676770673,0.0,1.0,41.20220943905288,58.79779056094712,False,4.9548374577539,Lean R,R+1.1,N/A,R+3.8,D+5.0,R+17.6
FL-09,FL-09,FL,H6FL09179,Darren Soto,Darren,Soto,INCUMBENT,H6FL09252,Justin Story,Justin,Story,CHALLENGER,4.52038470082414,,,,,,243893.66999999998,2844.185,2.5738055360615792,97293.0,170996.0,139012.0,198280.0,157999.0,169678.0,178785.0,138076.0,,,,,,,,,,,,,,,,,,,9.540548279900978,2025-10-07,19.737417089131153,63.73548397248783,36.26451602751217,,,,18.8616077021437,0.0,1.0,59.86870854456558,40.13129145543442,False,16.17323650886461,Lean D,D+4.5,N/A,D+2.6,D+16.2,D+19.7
FL-10,FL-10,FL,H2FL10259,Maxwell Alejandro Frost,Maxwell,Frost,INCUMBENT,H6FL10177,Stuart Ross Farber,Stuart,Farber,CHALLENGER,1.0210856583032433,,,,,,1615769.435,0.0,5.259029120045274,94755.0,191855.0,112515.0,219034.0,114482.0,182937.0,181455.0,109460.0,,,,,,,,,,,,,,,,,,,27.15751615913652,2025-10-07,35.69192148133662,73.9267435718465,26.0732564281535,,,,35.48832134502383,0.0,1.0,67.84596074066832,32.15403925933168,False,12.675570811070095,Lean D,D+1.0,N/A,D+5.3,D+12.7,D+35.7
FL-11,FL-11,FL,H4FL11105,Barbara Barbie Harden Hall,Barbara,Hall,CHALLENGER,H0FL08208,Daniel Webster,Daniel,Webster,INCUMBENT,-2.246882331522733,,,,,,6206.0,175144.97999999998,-2.0815815562277966,187300.0,136944.0,234696.0,188342.0,263141.0,189098.0,176726.0,269277.0,,,,,,,,,,,,,,,,,,,-13.629720536665703,2025-10-07,-11.478511577346133,41.922385611709615,58.077614388290385,,,,-11.147866015465583,0.0,1.0,44.26074421132694,55.73925578867306,False,4.894025952588262,Toss-up,R+2.2,N/A,R+2.1,D+4.9,R+11.5
FL-12,FL-12,FL,H6FL12199,Christopher Irizarry,Christopher,Irizarry,CHALLENGER,H6FL09070,Gus M Bilirakis,Gus,Bilirakis,INCUMBENT,-3.7508425985190663,,,,,,2390.5899999999997,359566.2,-3.084557333611869,223723.0,121645.0,273518.0,150602.0,296459.0,143215.0,124949.0,306487.0,,,,,,,,,,,,,,,,,,,-31.69697511506571,2025-10-07,-30.24719613822651,29.416360007981346,70.58363999201865,,,,-30.71924866055518,0.0,1.0,34.87640193088674,65.12359806911326,False,4.606809329460912,Lean R,R+3.8,N/A,R+3.1,D+4.6,R+30.2
FL-13,FL-13,FL,H6FL13221,Jeffrey Moore,Jeffrey,Moore,CHALLENGER,H0FL13158,Anna Paulina Luna,Anna,Paulina Luna,INCUMBENT,1.105979689521646,,,,,,0.0,854203.265,-4.342546770528939,207598.0,175909.0,238290.0,207783.0,231968.0,182362.0,185930.0,225636.0,,,,,,,,,,,,,,,,,,,-9.063985743361096,2025-10-07,-5.896025779917407,45.83329985617911,54.16670014382089,,,,-5.477372481948628,0.0,1.0,47.051987110041296,52.948012889958704,False,6.0765564612912915,Toss-up,D+1.1,N/A,R+4.3,D+6.1,R+5.9
FL-14,FL-14,FL,H6FL11126,Kathy Castor,Kathy,Castor,INCUMBENT,H4FL14117,Robert Anthony Rocky Capt Rochford,Robert,Rochford,CHALLENGER,3.843746687709352,,,,,,375979.51,134252.28,1.2571280115554755,124638.0,198672.0,156145.0,231486.0,163008.0,190432.0,199423.0,148167.0,,,,,,,,,,,,,,,,,,,12.670129624207384,2025-10-07,20.19650968908813,64.0438897222403,35.956110277759706,,,,20.881758275453862,0.0,1.0,60.098254844544066,39.901745155455934,False,12.437342645176859,Lean D,D+3.8,N/A,D+1.3,D+12.4,D+20.2
FL-15,FL-15,FL,H6FL15168,Robert People,Robert,People,CHALLENGER,H2FL15241,Laurel Lee,Laurel,Lee,INCUMBENT,-0.5850095342761596,,,,,,5810.615,621144.36,-3.7305302567124077,156230.0,144134.0,187682.0,176174.0,195539.0,155664.0,152361.0,195334.0,,,,,,,,,,,,,,,,,,,-7.638896024972886,2025-10-07,-4.354709490907499,46.92041850787821,53.07958149212179,,,,-4.873600655850689,0.0,1.0,47.82264525454625,52.17735474545375,False,6.999122908018478,Toss-up,R+0.6,N/A,R+3.7,D+7.0,R+4.4
FL-16,FL-16,FL,H2FL13139,Jan Schneider,Jan,Schneider,CHALLENGER,H6FL13148,Vernon Buchanan,Vernon,Buchanan,INCUMBENT,-1.745546789917582,,,,,,27690.615,960744.065,-3.8485613574279136,178192.0,136546.0,220861.0,184380.0,243281.0,177608.0,168625.0,247516.0,,,,,,,,,,,,,,,,,,,-12.53834992431673,2025-10-07,-10.182858597600495,42.825401724000436,57.174598275999564,,,,-10.605761609313236,0.0,1.0,44.90857070119975,55.09142929880025,False,5.420542774257644,Toss-up,R+1.7,N/A,R+3.8,D+5.4,R+10.2
FL-17,FL-17,FL,H6FL17065,Allen L Spence,Allen,Spence,CHALLENGER,H8FL17053,Greg Steube,Greg,Steube,INCUMBENT,-1.9304446033342124,,,,,,0.0,1109088.8050000002,-4.715049685596435,214682.0,151804.0,259029.0,187487.0,287639.0,175910.0,164566.0,291347.0,,,,,,,,,,,,,,,,,,,-20.4358873609423,2025-10-07,-18.312891008574503,37.226061304164524,62.773938695835476,,,,-19.059808418967485,0.0,1.0,40.84355449571275,59.15644550428725,False,5.790062508745134,Lean R,R+1.9,N/A,R+4.7,D+5.8,R+18.3
FL-18,FL-18,FL,GENERIC-DEM,Generic Democrat,Generic,Democrat,GENERIC,H0FL15104,Scott Franklin,Scott,Franklin,INCUMBENT,-0.6035934360861334,,,,,,0.0,417431.46499999997,-10.0,175253.0,111591.0,213274.0,133491.0,228976.0,124283.0,119637.0,225170.0,,,,,,,,,,,,,,,,,,,-26.18615786735409,2025-10-07,-23.64044378398879,33.66739883990971,66.33260116009029,,,,-23.24440893796659,0.0,1.0,38.17977810800561,61.82022189199439,False,5.995885368276262,Lean R,R+0.6,N/A,R+10.0,D+6.0,R+23.6
FL-19,FL-19,FL,H6FL19111,Howard Sapp,Howard,Sapp,CHALLENGER,H2FL14186,Byron Donalds,Byron,Donalds,INCUMBENT,-1.7329832729452432,,,,,,7910.605,2111377.69,-5.429400882560146,218307.0,133961.0,260795.0,169490.0,275143.0,150143.0,140038.0,275708.0,,,,,,,,,,,,,,,,,,,-25.821206797284727,2025-10-07,-24.635435646418742,33.01486266251869,66.98513733748132,,,,-24.67066256686579,0.0,1.0,37.68228217679063,62.31771782320937,False,4.756549982075963,Lean R,R+1.7,N/A,R+5.4,D+4.8,R+24.6
FL-20,FL-20,FL,H8FL20032,Sheila Cherfilus-Mccormick,Sheila,Cherfilus-Mccormick,INCUMBENT,H6FL20069,Rodenay Joseph,Rodenay,Joseph,CHALLENGER,10.0,,,,,,109283.025,18561.010000000002,1.2644379682280333,60419.0,229009.0,78809.0,252726.0,89175.0,207879.0,207879.0,89175.0,,,,,,,,,,,,,,,,,,,45.25118104044475,2025-10-07,57.93289585715949,85.06712071588576,14.932879284114236,,,,57.57063354488795,0.0,1.0,78.96644792857974,21.03355207142026,False,17.97248461879878,Likely D,D+10.0,N/A,D+1.3,D+18.0,D+57.9
FL-21,FL-21,FL,H6FL21059,Pia Dandiya,Pia,Dandiya,CHALLENGER,H6FL18097,Brian Mast,Brian,Mast,INCUMBENT,-3.5425482127429726,,,,,,210677.25,1867015.225,-2.9928624495526694,200599.0,162073.0,240728.0,199043.0,263988.0,188494.0,171312.0,277435.0,,,,,,,,,,,,,,,,,,,-13.236816536921552,2025-10-07,-12.423988337649845,41.26562235076628,58.73437764923372,,,,-12.074379716530697,0.0,1.0,43.78800583117508,56.21199416882492,False,4.26043225808656,Toss-up,R+3.5,N/A,R+3.0,D+4.3,R+12.4
FL-22,FL-22,FL,H2FL14053,Lois J Frankel,Lois,Frankel,INCUMBENT,H2FL21132,Deborah Adeimy,Deborah,Adeimy,CHALLENGER,2.1712611509607185,,,,,,538352.8,42992.87,2.7672059166345666,129711.0,197754.0,160448.0,229781.0,176060.0,196989.0,201608.0,165248.0,,,,,,,,,,,,,,,,,,,10.607364856969443,2025-10-07,17.89207739283725,62.48861196899026,37.51138803100974,,,,18.459042102923046,0.0,1.0,58.946038696418626,41.053961303581374,False,12.281822439734576,Lean D,D+2.2,N/A,D+2.8,D+12.3,D+17.9
FL-23,FL-23,FL,H2FL22171,Jared Moskowitz,Jared,Moskowitz,INCUMBENT,H6FL23139,Raven Harrison,Raven,Harrison,CHALLENGER,1.492493288653578,,,,,,587457.415,435725.63,0.40776533646422075,148165.0,199151.0,177683.0,232249.0,188273.0,195655.0,196311.0,178006.0,,,,,,,,,,,,,,,,,,,6.604490433147274,2025-10-07,12.091175306472364,58.503415925204884,41.496584074795116,,,,12.823935480810944,0.0,1.0,56.04558765323618,43.95441234676382,False,10.168418956323377,Toss-up,D+1.5,N/A,D+0.4,D+10.2,D+12.1
FL-24,FL-24,FL,H0FL17068,Frederica S Wilson,Frederica,Wilson,INCUMBENT,H2FL24052,Patricia Gonzalez,Patricia,Gonzalez,CHALLENGER,3.212583171898503,,,,,,340906.13,1220.1499999999999,3.0485016676880456,50350.0,236974.0,83294.0,245426.0,102000.0,190492.0,194874.0,90692.0,,,,,,,,,,,,,,,,,,,37.92569977004709,2025-10-07,46.63794700776593,80.13628384614934,19.86371615385066,,,,46.61223957215262,0.0,1.0,73.31897350388297,26.681026496117028,False,16.38344432051295,Likely D,D+3.2,N/A,D+3.0,D+16.4,D+46.6
FL-25,FL-25,FL,H4FL20023,Debbie Wasserman Schultz,Debbie,Wasserman Schultz,INCUMBENT,H6FL25035,Michael Carbonara,Michael,Carbonara,CHALLENGER,1.8126511554635072,,,,,,1196024.415,645999.6,0.8735463123552956,114401.0,209374.0,152799.0,229492.0,165194.0,183992.0,186942.0,156208.0,,,,,,,,,,,,,,,,,,,11.480258197716367,2025-10-07,18.383265625192834,62.82159946010817,37.17840053989183,,,,18.146032311198862,0.0,1.0,59.19163281259642,40.80836718740358,False,12.99988828474963,Lean D,D+1.8,N/A,D+0.9,D+13.0,D+18.4
FL-26,FL-26,FL,H6FL26041,Yurina Gil,Yurina,Gil,CHALLENGER,H2FL25018,Mario Diaz-Balart,Mario,Diaz-Balart,INCUMBENT,-3.4330183362881184,,,,,,0.0,1442133.18,-5.0939085511296955,120173.0,129240.0,184119.0,126605.0,211496.0,100410.0,89072.0,217199.0,,,,,,,,,,,,,,,,,,,-27.94595585285687,2025-10-07,-27.000531670963483,31.480734778861617,68.51926522113838,,,,-27.761022165617952,0.0,1.0,36.49973416451826,63.50026583548174,False,8.614685734280407,Lean R,R+3.4,N/A,R+5.1,D+8.6,R+27.0
FL-27,FL-27,FL,H6FL27056,Richard Lamondin,Richard,Lamondin,CHALLENGER,H8FL27185,Maria Elvira Salazar,Maria,Salazar,INCUMBENT,-3.0452276163788135,34.118973875827386,44.881026124172614,-10.762052248345228,1.0,0.008984185240871839,153196.54,1030585.08,-2.5066263392552486,122443.0,176134.0,179470.0,178474.0,192300.0,142010.0,130708.0,199159.0,,,,,,,,,,,,,,,,,,,-8.250215740086245,2025-10-07,-6.233668769447584,45.59547625544253,54.40452374455747,34.118973875827386,44.881026124172614,-10.762052248345228,-6.513113800303905,0.0048120773002477924,0.9951879226997522,46.883165615276205,53.116834384723795,True,8.809255462552656,Toss-up,R+3.0,R+10.8,R+2.5,D+8.8,R+6.2
FL-28,FL-28,FL,H4FL28042,Phil Ehr,Phil,Ehr,CHALLENGER,H0FL26036,Carlos Gimenez,Carlos,Gimenez,INCUMBENT,-1.8669823740945364,,,,,,128068.15,469253.395,-1.6053384882371242,114821.0,159180.0,181072.0,159211.0,208836.0,123604.0,115280.0,210057.0,,,,,,,,,,,,,,,,,,,-17.406793977474173,2025-10-07,-14.328773777579617,39.94876510515481,60.05123489484519,,,,-14.433551283993257,0.0,1.0,42.83561311121019,57.16438688878981,False,11.309536895022958,Lean R,R+1.9,N/A,R+1.6,D+11.3,R+14.3
FL-SEN,FL,FL,S6FL00756,Joshua Joseph Weil,Joshua,Weil,CHALLENGER,S6FL00640,Ashley Moody,Ashley,Moody,OPEN,0.0,,,,,,15933478.15,1261216.43,3.7509004413368623,4617216.0,4504070.0,5668377.0,5296464.0,6108350.0,4679230.0,4547612.0,6067134.0,17339232.0,9476700.0,4332685.0,2694907.0,637361.0,294420.0,31873.0,1037425.0,1827986.0,2657370.0,1835732.0,663997.0,8926733.0,3248221.0,1978625.0,1779585.0,4804107.0,910067.0,-8.89048228114669,2025-10-07,-5.15288118809282,46.35717172218564,53.64282827781436,,,,-5.23244376930905,0.0,1.0,47.42355940595359,52.57644059404641,False,8.094946406233246,Toss-up,N/A,N/A,D+3.8,D+8.1,R+5.2
GA-01,GA-01,GA,H6GA01141,Ernest Michael Mccord,Ernest,Mccord,CHALLENGER,H4GA01039,Earl Leroy Carter,Earl,Carter,INCUMBENT,-4.081294423634943,,,,,,0.0,4575764.245,-6.791060809544339,155787.0,110385.0,190430.0,144229.0,209761.0,152200.0,135281.0,220576.0,,,,,,,,,,,,,,,,,,,-13.890155139073162,2025-10-07,-17.118401504278577,38.03742702589968,61.96257297410032,,,,-16.820473288229294,0.0,1.0,41.44079924786071,58.55920075213929,False,-1.2158595177109621,Lean R,R+4.1,N/A,R+6.8,R+1.2,R+17.1
GA-02,GA-02,GA,H2GA02031,Sanford Bishop,Sanford,Bishop,INCUMBENT,H6GA02156,Chuck Hand,Chuck,Hand,CHALLENGER,2.5188359257264232,,,,,,467991.105,0.0,3.5069025973038412,124837.0,150421.0,140750.0,173744.0,145604.0,169832.0,176028.0,136473.0,,,,,,,,,,,,,,,,,,,10.025638660911008,2025-10-07,16.521109189066053,61.555208019604635,38.444791980395365,,,,16.644389114753213,0.0,1.0,58.260554594533026,41.739445405466974,False,8.840311816540407,Lean D,D+2.5,N/A,D+3.5,D+8.8,D+16.5
GA-03,GA-03,GA,H2GA03153,Rodney R Moore,Rodney,Moore,CHALLENGER,H4GA03126,Brian Jack,Brian,Jack,INCUMBENT,-1.4555392133368121,,,,,,0.0,491151.91500000004,-3.5725155571001945,210432.0,97173.0,248107.0,132266.0,270130.0,146037.0,138749.0,273036.0,,,,,,,,,,,,,,,,,,,-28.72258159096783,2025-10-07,-28.926401933980642,30.250135789828093,69.7498642101719,,,,-28.293123640369803,0.0,1.0,35.53679903300968,64.46320096699031,False,0.8916759049638188,Lean R,R+1.5,N/A,R+3.6,D+0.9,R+28.9
GA-04,GA-04,GA,H6GA04129,Henry C 'Hank' Johnson,Henry,Johnson,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,-0.6536931197430373,,,,,,215808.255,0.0,10.0,55425.0,201425.0,65453.0,248568.0,72044.0,234437.0,229290.0,74071.0,,,,,,,,,,,,,,,,,,,55.939699136616085,2025-10-07,60.18860354087667,85.89469729357191,14.105302706428091,,,,59.943043076326006,0.0,1.0,80.09430177043834,19.905698229561665,False,7.202284649982943,Likely D,R+0.7,N/A,D+10.0,D+7.2,D+60.2
GA-05,GA-05,GA,H0GA05301,Nikema N Williams,Nikema,Williams,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,-0.11804934343334628,,,,,,178389.045,0.0,10.0,36738.0,245370.0,45061.0,298051.0,47969.0,299895.0,294470.0,49221.0,,,,,,,,,,,,,,,,,,,74.49766221500072,2025-10-07,78.93991292407843,91.60158265139806,8.398417348601939,,,,78.7443084877468,0.0,1.0,89.46995646203922,10.530043537960779,False,6.519081794671536,Likely D,R+0.1,N/A,D+10.0,D+6.5,D+78.9
GA-06,GA-06,GA,H8GA06393,Lucia Kay Mcbath,Lucia,Mcbath,INCUMBENT,H6GA06157,Justin Pinker,Justin,Pinker,CHALLENGER,-0.28479156970897257,,,,,,872305.925,0.0,4.372280953424837,81411.0,208500.0,90634.0,272391.0,92570.0,280053.0,277027.0,93909.0,,,,,,,,,,,,,,,,,,,51.517374497113984,2025-10-07,56.51398190844373,84.53081508819972,15.469184911800284,,,,56.69972913205976,0.0,1.0,78.25699095422186,21.743009045778138,False,6.1995890770833455,Likely D,R+0.3,N/A,D+4.4,D+6.2,D+56.5
GA-07,GA-07,GA,H6GA07171,Haiden William Moburg,Haiden,Moburg,CHALLENGER,H0GA07273,Richard Dean Mccormick,Richard,Mccormick,INCUMBENT,-3.8242271541776454,,,,,,0.0,913114.115,-4.43722334824539,199615.0,103933.0,239930.0,161771.0,261239.0,166122.0,149535.0,275907.0,,,,,,,,,,,,,,,,,,,-20.729687799101264,2025-10-07,-22.34619862778487,34.522183816046805,65.4778161839532,,,,-22.31170903796972,0.0,1.0,38.826900686107564,61.173099313892436,False,-0.08937126169390552,Lean R,R+3.8,N/A,R+4.4,R+0.1,R+22.3
GA-08,GA-08,GA,H8GA08118,James L Cooper,James,Cooper,CHALLENGER,H0GA08099,James Austin Scott,James,Scott,INCUMBENT,-3.619329429776724,,,,,,10.0,761902.915,-4.180736677162173,179620.0,93873.0,209018.0,117588.0,225082.0,119100.0,104434.0,231547.0,,,,,,,,,,,,,,,,,,,-28.612708147518145,2025-10-07,-29.543379587381825,29.8596020680563,70.1403979319437,,,,-29.929887567911052,0.0,1.0,35.22831020630909,64.77168979369091,False,1.2490499992903388,Lean R,R+3.6,N/A,R+4.2,D+1.2,R+29.5
GA-09,GA-09,GA,H6GA09268,Nicholas Francis Alex,Nicholas,Alex,CHALLENGER,H0GA09246,Andrew Clyde,Andrew,Clyde,INCUMBENT,-1.9659328287411766,,,,,,6772.0650000000005,176403.58000000002,-2.0749121513368514,194811.0,79172.0,239352.0,121332.0,267768.0,130854.0,121754.0,271062.0,,,,,,,,,,,,,,,,,,,-32.91981964957155,2025-10-07,-32.46143991372985,28.038060343327565,71.96193965667243,,,,-32.081822406361425,0.0,1.0,33.769280043135076,66.23071995686493,False,1.8853848977456877,Lean R,R+2.0,N/A,R+2.1,D+1.9,R+32.5
GA-10,GA-10,GA,H6GA10167,Dantwan Samuel Watkins,Dantwan,Watkins,CHALLENGER,H4GA10071,Michael A Collins,Michael,Collins,INCUMBENT,-2.659414792091201,,,,,,0.0,840930.28,-4.320364754734183,186976.0,105442.0,225628.0,146073.0,248555.0,162825.0,150274.0,256442.0,,,,,,,,,,,,,,,,,,,-19.734428623663007,2025-10-07,-20.58299649126208,35.69705727337705,64.30294272662294,,,,-20.481478991051567,0.0,1.0,39.70850175436896,60.29149824563104,False,0.2566165186071423,Lean R,R+2.7,N/A,R+4.3,D+0.3,R+20.6
GA-11,GA-11,GA,H6GA11090,Mitchell Laminack,Mitchell,Laminack,CHALLENGER,H4GA11061,Barry Loudermilk,Barry,Loudermilk,INCUMBENT,-5.636800815129924,,,,,,0.0,188178.65000000002,-2.3414970253701632,200645.0,101526.0,234732.0,149152.0,257547.0,159565.0,131064.0,269849.0,,,,,,,,,,,,,,,,,,,-22.247410243629393,2025-10-07,-23.956109264095872,33.45993686535705,66.54006313464295,,,,-23.98995076169509,0.0,1.0,38.021945367952064,61.978054632047936,False,-0.46553598881249414,Lean R,R+5.6,N/A,R+2.3,R+0.5,R+24.0
GA-12,GA-12,GA,H6GA12064,Brianna Courtney Estelle Woodson,Brianna,Woodson,CHALLENGER,H2GA12121,Richard W Allen,Richard,Allen,INCUMBENT,-3.2386521003505515,,,,,,0.0,919160.015,-4.446610090482604,159321.0,121294.0,185658.0,150920.0,198235.0,148846.0,135417.0,205849.0,,,,,,,,,,,,,,,,,,,-11.7628764870222,2025-10-07,-12.616999449950226,41.13179287594204,58.86820712405796,,,,-12.959207727791206,0.0,1.0,43.691500275024886,56.308499724975114,False,1.6128201022580484,Toss-up,R+3.2,N/A,R+4.4,D+1.6,R+12.6
GA-13,GA-13,GA,H2GA13012,David Albert Scott,David,Scott,INCUMBENT,H6GA13021,Simeon Nunnally,Simeon,Nunnally,CHALLENGER,0.6669710978917998,,,,,,259263.185,0.0,2.733254460515751,98873.0,183520.0,104439.0,248423.0,103887.0,257427.0,256902.0,100730.0,,,,,,,,,,,,,,,,,,,42.992095802627915,2025-10-07,48.17614528967903,80.9494771519418,19.050522848058193,,,,47.98944563618633,0.0,1.0,74.08807264483951,25.911927355160486,False,5.681251651458531,Likely D,D+0.7,N/A,D+2.7,D+5.7,D+48.2
GA-14,GA-14,GA,H4GA14099,Clarence Blalock,Clarence,Blalock,CHALLENGER,H0GA06192,Marjorie Taylor Greene,Marjorie,Greene,INCUMBENT,4.019893485793643,,,,,,16101.77,1817739.2349999999,-5.011932733666745,203478.0,74471.0,242230.0,108745.0,262682.0,120582.0,134759.0,243446.0,,,,,,,,,,,,,,,,,,,-36.211955770839154,2025-10-07,-33.632411389190864,27.319398307762345,72.68060169223766,,,,-32.851917942437424,0.0,1.0,33.18379430540457,66.81620569459542,False,3.4438597972498144,Lean R,D+4.0,N/A,R+5.0,D+3.4,R+33.6
GA-SEN,GA,GA,S8GA00180,T Jonathan Ossoff,T,Ossoff,INCUMBENT,S6GA00374,Earl Leroy Carter,Earl,Carter,CHALLENGER,-1.009364134585437,47.943215991652615,43.40938847484877,4.533827516803846,7.0,-0.030303714725466887,18511934.475,4575764.245,2.0842070259449796,2087969.0,1876505.0,2461422.0,2473253.0,2663073.0,2547775.0,2434984.0,2702118.0,8220274.0,4342333.0,742918.0,2607986.0,416584.0,157885.0,12728.0,722740.0,815118.0,1194589.0,888935.0,313011.0,6326283.0,2379005.0,922777.0,658392.0,2017185.0,987435.0,-0.2855813344248994,2025-10-07,1.296063988255542,50.91724838981242,49.08275161018758,47.943215991652615,43.40938847484877,4.533827516803846,1.8662010466598418,0.0,1.0,50.64803199412777,49.35196800587223,True,3.50871728384198,Toss-up,R+1.0,D+4.5,D+2.1,D+3.5,D+1.3
HI-01,HI-01,HI,H2HI02128,Edward Case,Edward,Case,INCUMBENT,H6HI01329,Gavin Solomon,Gavin,Solomon,CHALLENGER,7.493471102715735,,,,,,327565.265,0.0,3.0325806536022673,63525.0,131581.0,96339.0,178654.0,91500.0,153037.0,164237.0,64373.0,,,,,,,,,,,,,,,,,,,28.460001232282337,2025-10-07,36.216715284629885,74.24055239056688,25.759447609433124,,,,36.75452725206316,0.0,1.0,68.10835764231494,31.891642357685058,False,11.052016282024962,Lean D,D+7.5,N/A,D+3.0,D+11.1,D+36.2
HI-02,HI-02,HI,H2HI02581,Jill Naomi Tokuda,Jill,Tokuda,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,5.964182125998802,,,,,,511809.025,0.0,10.0,65319.0,135310.0,100522.0,187474.0,102161.0,160007.0,166251.0,79968.0,,,,,,,,,,,,,,,,,,,26.180407170457393,2025-10-07,34.468097906463925,73.189027711315,26.810972288684994,,,,33.75347110912067,0.0,1.0,67.23404895323196,32.76595104676804,False,12.403620166999154,Lean D,D+6.0,N/A,D+10.0,D+12.4,D+34.5
